orif_util,tha_util,inmb
0.5674999999999999,0.2875,-65048392.09074193
0.585,0.2875,-71194225.00481138
0.6025,0.2875,-77340057.9188809
0.6199999999999999,0.2875,-83485890.83295028
0.6375,0.2875,-89631723.74701986
0.655,0.2875,-95777556.66108929
0.6725,0.2875,-101923389.57515863
0.69,0.2875,-108069222.48922825
0.7075,0.2875,-114215055.4032975
0.7249999999999999,0.2875,-120360888.31736715
0.7424999999999999,0.2875,-126506721.23143655
0.76,0.2875,-132652554.14550605
0.7774999999999999,0.2875,-138798387.05957535
0.7949999999999999,0.2875,-144944219.97364485
0.8125,0.2875,-151090052.88771436
0.8299999999999998,0.2875,-157235885.8017839
0.8474999999999999,0.2875,-163381718.71585342
0.865,0.2875,-169527551.62992284
0.8824999999999998,0.2875,-175673384.54399213
0.9,0.2875,-181819217.45806172
0.2,0.305,69761858.38845995
0.2175,0.305,63616025.47439047
0.23500000000000001,0.305,57470192.560321
0.2525,0.305,51324359.64625157
0.27,0.305,45178526.7321821
0.2875,0.305,39032693.81811264
0.305,0.305,32886860.904043168
0.3225,0.305,26741027.989973687
0.33999999999999997,0.305,20595195.075904302
0.3575,0.305,14449362.1618348
0.375,0.305,8303529.247765345
0.39249999999999996,0.305,2157696.333695866
0.41,0.305,-3988136.580373591
0.4275,0.305,-10133969.494443
0.44499999999999995,0.305,-16279802.40851248
0.46249999999999997,0.305,-22425635.322582006
0.48,0.305,-28571468.236651435
0.4975,0.305,-34717301.15072094
0.5149999999999999,0.305,-40863134.06479032
0.5325,0.305,-47008966.978859805
0.55,0.305,-53154799.89292931
0.5674999999999999,0.305,-59300632.8069987
0.585,0.305,-65446465.72106822
0.6025,0.305,-71592298.63513765
0.6199999999999999,0.305,-77738131.54920708
0.6375,0.305,-83883964.46327661
0.655,0.305,-90029797.37734604
0.6725,0.305,-96175630.29141547
0.69,0.305,-102321463.20548496
0.7075,0.305,-108467296.11955447
0.7249999999999999,0.305,-114613129.03362386
0.7424999999999999,0.305,-120758961.9476933
0.76,0.305,-126904794.86176273
0.7774999999999999,0.305,-133050627.7758322
0.7949999999999999,0.305,-139196460.68990168
0.8125,0.305,-145342293.60397127
0.8299999999999998,0.305,-151488126.5180406
0.8474999999999999,0.305,-157633959.43211013
0.865,0.305,-163779792.34617952
0.8824999999999998,0.305,-169925625.26024908
0.9,0.305,-176071458.17431855
0.2,0.3225,75509617.67220308
0.2175,0.3225,69363784.75813362
0.23500000000000001,0.3225,63217951.8440641
0.2525,0.3225,57072118.92999466
0.27,0.3225,50926286.01592521
0.2875,0.3225,44780453.10185578
0.305,0.3225,38634620.187786326
0.3225,0.3225,32488787.27371682
0.33999999999999997,0.3225,26342954.35964734
0.3575,0.3225,20197121.445577886
0.375,0.3225,14051288.531508407
0.39249999999999996,0.3225,7905455.617438973
0.41,0.3225,1759622.7033695392
0.4275,0.3225,-4386210.210699916
0.44499999999999995,0.3225,-10532043.124769393
0.46249999999999997,0.3225,-16677876.038838852
0.48,0.3225,-22823708.952908374
0.4975,0.3225,-28969541.866977833
0.5149999999999999,0.3225,-35115374.78104724
0.5325,0.3225,-41261207.695116766
0.55,0.3225,-47407040.60918625
0.5674999999999999,0.3225,-53552873.52325559
0.585,0.3225,-59698706.437325105
0.6025,0.3225,-65844539.35139459
0.6199999999999999,0.3225,-71990372.26546402
0.6375,0.3225,-78136205.1795335
0.655,0.3225,-84282038.09360299
0.6725,0.3225,-90427871.00767241
0.69,0.3225,-96573703.92174193
0.7075,0.3225,-102719536.83581138
0.7249999999999999,0.3225,-108865369.74988072
0.7424999999999999,0.3225,-115011202.66395015
0.76,0.3225,-121157035.57801971
0.7774999999999999,0.3225,-127302868.49208915
0.7949999999999999,0.3225,-133448701.40615869
0.8125,0.3225,-139594534.32022816
0.8299999999999998,0.3225,-145740367.23429748
0.8474999999999999,0.3225,-151886200.14836702
0.865,0.3225,-158032033.06243655
0.8824999999999998,0.3225,-164177865.97650596
0.9,0.3225,-170323698.8905755
0.2,0.33999999999999997,81257376.95594622
0.2175,0.33999999999999997,75111544.04187673
0.23500000000000001,0.33999999999999997,68965711.12780727
0.2525,0.33999999999999997,62819878.21373781
0.27,0.33999999999999997,56674045.29966834
0.2875,0.33999999999999997,50528212.385598905
0.305,0.33999999999999997,44382379.471529454
0.3225,0.33999999999999997,38236546.55745995
0.33999999999999997,0.33999999999999997,32090713.643390518
0.3575,0.33999999999999997,25944880.72932104
0.375,0.33999999999999997,19799047.815251604
0.39249999999999996,0.33999999999999997,13653214.901182149
0.41,0.33999999999999997,7507381.9871126935
0.4275,0.33999999999999997,1361549.0730431695
0.44499999999999995,0.33999999999999997,-4784283.841026265
0.46249999999999997,0.33999999999999997,-10930116.755095698
0.48,0.33999999999999997,-17075949.669165175
0.4975,0.33999999999999997,-23221782.583234675
0.5149999999999999,0.33999999999999997,-29367615.497304067
0.5325,0.33999999999999997,-35513448.41137356
0.55,0.33999999999999997,-41659281.32544309
0.5674999999999999,0.33999999999999997,-47805114.239512436
0.585,0.33999999999999997,-53950947.153581865
0.6025,0.33999999999999997,-60096780.067651525
0.6199999999999999,0.33999999999999997,-66242612.981720865
0.6375,0.33999999999999997,-72388445.8957904
0.655,0.33999999999999997,-78534278.80985992
0.6725,0.33999999999999997,-84680111.72392921
0.69,0.33999999999999997,-90825944.63799879
0.7075,0.33999999999999997,-96971777.55206808
0.7249999999999999,0.33999999999999997,-103117610.4661376
0.7424999999999999,0.33999999999999997,-109263443.38020712
0.76,0.33999999999999997,-115409276.29427652
0.7774999999999999,0.33999999999999997,-121555109.2083459
0.7949999999999999,0.33999999999999997,-127700942.1224154
0.8125,0.33999999999999997,-133846775.03648496
0.8299999999999998,0.33999999999999997,-139992607.95055428
0.8474999999999999,0.33999999999999997,-146138440.8646239
0.865,0.33999999999999997,-152284273.77869344
0.8824999999999998,0.33999999999999997,-158430106.69276264
0.9,0.33999999999999997,-164575939.60683236
0.2,0.3575,87005136.23968942
0.2175,0.3575,80859303.32561995
0.23500000000000001,0.3575,74713470.41155048
0.2525,0.3575,68567637.497481
0.27,0.3575,62421804.58341154
0.2875,0.3575,56275971.66934215
0.305,0.3575,50130138.755272694
0.3225,0.3575,43984305.84120317
0.33999999999999997,0.3575,37838472.92713372
0.3575,0.3575,31692640.013064258
0.375,0.3575,25546807.098994803
0.39249999999999996,0.3575,19400974.184925348
0.41,0.3575,13255141.270855892
0.4275,0.3575,7109308.35678639
0.44499999999999995,0.3575,963475.4427169338
0.46249999999999997,0.3575,-5182357.471352521
0.48,0.3575,-11328190.385421954
0.4975,0.3575,-17474023.29949141
0.5149999999999999,0.3575,-23619856.21356091
0.5325,0.3575,-29765689.127630346
0.55,0.3575,-35911522.04169983
0.5674999999999999,0.3575,-42057354.95576921
0.585,0.3575,-48203187.86983874
0.6025,0.3575,-54349020.78390821
0.6199999999999999,0.3575,-60494853.69797765
0.6375,0.3575,-66640686.61204712
0.655,0.3575,-72786519.52611661
0.6725,0.3575,-78932352.440186
0.69,0.3575,-85078185.35425556
0.7075,0.3575,-91224018.26832505
0.7249999999999999,0.3575,-97369851.18239439
0.7424999999999999,0.3575,-103515684.09646386
0.76,0.3575,-109661517.01053335
0.7774999999999999,0.3575,-115807349.92460278
0.7949999999999999,0.3575,-121953182.83867231
0.8125,0.3575,-128099015.75274181
0.8299999999999998,0.3575,-134244848.6668111
0.8474999999999999,0.3575,-140390681.5808807
0.865,0.3575,-146536514.4949501
0.8824999999999998,0.3575,-152682347.40901956
0.9,0.3575,-158828180.3230891
0.2,0.375,92752895.52343258
0.2175,0.375,86607062.60936311
0.23500000000000001,0.375,80461229.69529365
0.2525,0.375,74315396.7812242
0.27,0.375,68169563.86715476
0.2875,0.375,62023730.9530853
0.305,0.375,55877898.03901582
0.3225,0.375,49732065.12494637
0.33999999999999997,0.375,43586232.21087689
0.3575,0.375,37440399.29680744
0.375,0.375,31294566.382737957
0.39249999999999996,0.375,25148733.468668476
0.41,0.375,19002900.554599047
0.4275,0.375,12857067.640529566
0.44499999999999995,0.375,6711234.72646011
0.46249999999999997,0.375,565401.8123906311
0.48,0.375,-5580431.101678826
0.4975,0.375,-11726264.015748281
0.5149999999999999,0.375,-17872096.929817736
0.5325,0.375,-24017929.843887217
0.55,0.375,-30163762.757956646
0.5674999999999999,0.375,-36309595.67202608
0.585,0.375,-42455428.58609561
0.6025,0.375,-48601261.50016513
0.6199999999999999,0.375,-54747094.41423443
0.6375,0.375,-60892927.32830404
0.655,0.375,-67038760.24237342
0.6725,0.375,-73184593.15644287
0.69,0.375,-79330426.0705123
0.7075,0.375,-85476258.98458186
0.7249999999999999,0.375,-91622091.89865126
0.7424999999999999,0.375,-97767924.81272073
0.76,0.375,-103913757.72679025
0.7774999999999999,0.375,-110059590.64085974
0.7949999999999999,0.375,-116205423.55492917
0.8125,0.375,-122351256.46899864
0.8299999999999998,0.375,-128497089.383068
0.8474999999999999,0.375,-134642922.29713756
0.865,0.375,-140788755.21120703
0.8824999999999998,0.375,-146934588.1252764
0.9,0.375,-153080421.03934595
0.2,0.39249999999999996,98500654.80717574
0.2175,0.39249999999999996,92354821.89310624
0.23500000000000001,0.39249999999999996,86208988.9790368
0.2525,0.39249999999999996,80063156.0649673
0.27,0.39249999999999996,73917323.15089789
0.2875,0.39249999999999996,67771490.23682843
0.305,0.39249999999999996,61625657.322758935
0.3225,0.39249999999999996,55479824.40868948
0.33999999999999997,0.39249999999999996,49333991.49462002
