orif_cost,tha_cost,inmb
15800.0,21950.0,33619924.942333065
17100.0,21950.0,34919924.94233304
18400.0,21950.0,36219924.942333035
19700.0,21950.0,37519924.94233305
21000.0,21950.0,38819924.94233305
22300.0,21950.0,40119924.94233305
23600.0,21950.0,41419924.94233305
24900.0,21950.0,42719924.94233304
26200.0,21950.0,44019924.94233304
27500.0,21950.0,45319924.94233304
28800.0,21950.0,46619924.94233304
30100.0,21950.0,47919924.94233304
31400.0,21950.0,49219924.94233305
32700.0,21950.0,50519924.94233305
34000.0,21950.0,51819924.94233305
35300.0,21950.0,53119924.94233305
36600.0,21950.0,54419924.94233305
37900.0,21950.0,55719924.94233305
39200.0,21950.0,57019924.94233305
40500.0,21950.0,58319924.94233305
41800.0,21950.0,59619924.94233305
43100.0,21950.0,60919924.94233305
44400.0,21950.0,62219924.94233305
45700.0,21950.0,63519924.94233311
47000.0,21950.0,64819924.94233308
48300.0,21950.0,66119924.942333125
49600.0,21950.0,67419924.9423331
50900.0,21950.0,68719924.94233307
52200.0,21950.0,70019924.9423331
53500.0,21950.0,71319924.94233304
54800.0,21950.0,72619924.94233307
56100.0,21950.0,73919924.94233307
57400.0,21950.0,75219924.94233307
58700.0,21950.0,76519924.94233304
60000.0,21950.0,77819924.94233304
8000.0,23500.0,24269924.942333084
9300.0,23500.0,25569924.942333084
10600.0,23500.0,26869924.942333084
11900.0,23500.0,28169924.94233308
13200.0,23500.0,29469924.942333132
14500.0,23500.0,30769924.942333102
15800.0,23500.0,32069924.94233305
17100.0,23500.0,33369924.942333028
18400.0,23500.0,34669924.94233302
19700.0,23500.0,35969924.942333035
21000.0,23500.0,37269924.942333035
22300.0,23500.0,38569924.942333035
23600.0,23500.0,39869924.942333035
24900.0,23500.0,41169924.94233303
26200.0,23500.0,42469924.94233303
27500.0,23500.0,43769924.94233303
28800.0,23500.0,45069924.94233303
30100.0,23500.0,46369924.94233303
31400.0,23500.0,47669924.942333035
32700.0,23500.0,48969924.942333035
34000.0,23500.0,50269924.942333035
35300.0,23500.0,51569924.942333035
36600.0,23500.0,52869924.942333035
